epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2488.22,0.87725,2.80412,0.22873,0.65457,1.29521,0.95881,0.94972,0.95324,0.77441,0.92279,0.91608,0.91307,0.53419,0.79145,1.97484,0.04549,0.50707,1.4362,0.000928418,0.000928418,0.000928418
85,2518.19,0.87249,2.84585,0.22862,0.66213,1.28332,0.94199,0.96199,0.97158,0.78031,0.90762,0.92823,0.92638,0.50888,0.8312,1.99438,0.07954,0.49251,1.45137,0.000926218,0.000926218,0.000926218
86,2547.08,0.86309,2.80293,0.23131,0.64982,1.27174,0.94862,0.9499,0.95481,0.76492,0.90671,0.90956,0.88831,0.46777,0.80804,2.14041,0.03552,0.51622,1.45633,0.000924019,0.000924019,0.000924019
87,2576.48,0.85732,2.89672,0.22798,0.65981,1.27779,0.94781,0.93622,0.95322,0.76407,0.919,0.90182,0.90603,0.4796,0.80617,2.12339,0.03884,0.53948,1.45275,0.000921819,0.000921819,0.000921819
88,2606.06,0.88547,2.87265,0.22776,0.68647,1.30044,0.96943,0.95365,0.9765,0.76334,0.94164,0.92652,0.9444,0.53162,0.83108,2.03333,0.07048,0.486,1.4573,0.000919619,0.000919619,0.000919619
89,2635.41,0.86176,2.82331,0.23005,0.66056,1.28057,0.93218,0.95079,0.95485,0.76241,0.90599,0.92435,0.90992,0.50122,0.80384,2.0235,0.05649,0.50727,1.4609,0.000917419,0.000917419,0.000917419
90,2664.42,0.84348,2.79264,0.23374,0.63948,1.27131,0.94719,0.94565,0.97511,0.77107,0.90677,0.89376,0.90623,0.532,0.80565,2.08384,0.0347,0.48988,1.45958,0.00091522,0.00091522,0.00091522
91,2694.12,0.85247,2.75821,0.22864,0.66696,1.28164,0.95938,0.9527,0.9702,0.78994,0.93036,0.92595,0.9314,0.52915,0.76733,2.00024,0.03576,0.48521,1.42403,0.00091302,0.00091302,0.00091302
92,2723.88,0.86181,2.75827,0.22391,0.67283,1.27313,0.96862,0.9349,0.96984,0.77534,0.95651,0.91921,0.9426,0.55265,0.77391,1.9115,0.04041,0.48342,1.44624,0.00091082,0.00091082,0.00091082
93,2754.36,0.83531,2.72176,0.22487,0.64441,1.2701,0.97142,0.95432,0.96994,0.77566,0.93617,0.92053,0.92566,0.50999,0.7826,2.01386,0.03691,0.50253,1.42856,0.00090862,0.00090862,0.00090862
94,2786.73,0.85117,2.71586,0.22663,0.63995,1.27184,0.9483,0.93645,0.95406,0.76856,0.90768,0.89261,0.88058,0.51641,0.79759,2.09579,0.05594,0.51286,1.45195,0.00090642,0.00090642,0.00090642
95,2816.84,0.84194,2.73859,0.23009,0.64002,1.26702,0.96276,0.94369,0.96863,0.77285,0.94814,0.93022,0.93939,0.51726,0.78658,2.0041,0.0367,0.51546,1.43465,0.000904221,0.000904221,0.000904221
96,2846.39,0.84383,2.73813,0.22412,0.63128,1.26922,0.95958,0.96641,0.96916,0.78425,0.93202,0.93928,0.93764,0.54104,0.77876,1.8624,0.0329,0.48334,1.43604,0.000902021,0.000902021,0.000902021
97,2876.84,0.82375,2.65591,0.21976,0.61705,1.24808,0.96895,0.937,0.9733,0.80017,0.9067,0.93306,0.92537,0.56134,0.7409,1.87843,0.0489,0.47878,1.38532,0.000899821,0.000899821,0.000899821
98,2906.51,0.82103,2.63465,0.22305,0.63115,1.27084,0.96012,0.95307,0.95947,0.77021,0.91688,0.91261,0.90686,0.49588,0.75585,2.00269,0.02585,0.485,1.42826,0.000897621,0.000897621,0.000897621
99,2935.99,0.832,2.66303,0.22581,0.63049,1.24863,0.96279,0.95514,0.96447,0.79001,0.94716,0.92512,0.93353,0.53236,0.74201,1.86142,0.03172,0.48246,1.39343,0.000895422,0.000895422,0.000895422
100,2965.36,0.83778,2.62334,0.22821,0.62707,1.2609,0.95416,0.94898,0.95448,0.77529,0.93434,0.91461,0.92268,0.56007,0.75705,1.83553,0.04754,0.48902,1.41003,0.000893222,0.000893222,0.000893222
